time	leftRight	frontBack	angular	Roll_Mean	Roll_SD	Pitch_Mean	Pitch_SD	Yaw_Mean	Yaw_SD
2016-03-31 12:29:28.900	0	-	0	-63.36594696969697	39.18656610972286	15.845694444444444	27.51483069171829	-104343.69751262626	121.12826249400344
2016-03-31 12:29:30.900	0	-	0	-537.9795707070707	691.4953387706611	202.9319696969697	863.7408876593828	-101911.13835858586	2155.546637722511
2016-03-31 12:29:32.900	0	-	0	81.70939393939393	1689.3809777855838	-2618.56101010101	3382.935712981023	-99327.01527777777	206.6379790340017
2016-03-31 12:29:34.900	0	-	0	-481.8048484848485	779.6520039822573	204.66767676767674	6702.242664490237	-99585.8746969697	132.7809481123386
2016-03-31 12:29:36.900	0	-	0	-463.1332287157287	492.6817331112582	-3029.5120093795094	8327.571982165964	-99788.2873917749	444.4057598223518
2016-03-31 12:29:38.900	0	+	0	142.57030303030302	1271.858134376967	2717.191590909091	3591.3325188246904	-99002.73626262628	555.5134114118515
2016-03-31 12:29:40.900	0	+	0	86.69901515151516	423.9326278666528	208.33015151515147	7509.232365329091	-99360.21426767677	207.82409403221118
2016-03-31 12:29:42.900	0	+	0	-243.01027777777776	1730.6266750989712	-49.1461868686868	7306.427232859945	-99631.72404040403	228.32157436204287
2016-03-31 12:29:44.900	0	-	0	85.6716919191919	298.32992151524644	-3268.8118686868684	4787.454822188306	-100012.50792929293	126.1865499947554
2016-03-31 12:29:46.900	0	-	0	145.59305555555557	229.58546647778923	-3134.7575	8012.214560172875	-99732.91916666666	142.9143428379805
2016-03-31 12:29:48.900	0	+	0	77.76393939393941	236.1876002424231	4229.159797979798	4482.236878140847	-99817.77881313131	265.29659594834163
2016-03-31 12:29:50.900	0	+	0	-100.88729797979798	533.4651143204333	-459.77797979798	7154.796133291452	-99276.00366161617	181.08975228487742
2016-03-31 12:29:52.900	0	+	0	162.11689393939392	1014.5240651151281	2267.346515151515	8493.321968115813	-99246.86984848484	195.50223438197517
2016-03-31 12:29:54.900	0	-	0	-120.03035353535351	374.072176102603	-3338.9079292929296	4477.980213865381	-99890.17892676766	138.95029335945478
2016-03-31 12:29:56.900	0	-	0	14.485433802308796	419.42729421099295	-2110.473721139971	8652.102396388002	-99704.7371410534	246.29222519181351
2016-03-31 12:29:58.900	0	-	0	-107.98436868686868	657.1802346852674	1799.5172664141414	7962.7452190609965	-99827.72575757575	203.2936926940554
2016-03-31 12:30:00.900	0	+	0	301.91363636363633	773.3953912147255	-218.5432575757577	7115.139854495461	-99302.98881313132	462.88336324720416
2016-03-31 12:30:02.900	0	+	0	-134.30525252525254	552.1422014113202	2276.14297979798	8533.39089787945	-98983.02232323233	216.98534271009004
2016-03-31 12:30:04.900	0	-	0	-165.96357323232323	497.7573160053252	-3893.071085858586	2989.9001385344054	-99466.70686868686	308.89862289919205
2016-03-31 12:30:06.900	0	-	0	201.79584415584415	345.5626544831478	-182.97240259740252	8861.980154518265	-99326.34240981241	553.3014256793458
2016-03-31 12:30:08.900	0	-	0	117.66867784992787	1098.4186986044	1458.59123466811	8152.557266779355	-99821.273117785	518.1326262824537
2016-03-31 12:30:10.900	0	+	0	-338.93364898989904	449.0689818500999	-1154.7645328282829	7766.095982233804	-99555.44605429293	318.863798181023
2016-03-31 12:30:12.900	0	+	0	254.18550505050507	1001.2340293427428	3105.284368686868	9010.905664474112	-99004.22257575757	270.40361046304787
2016-03-31 12:30:14.900	0	0	+	-247.5036426767677	570.5530987786767	1100.620946969697	2063.805384968689	-92801.90970643939	7816.589033697372
2016-03-31 12:30:16.900	0	0	+	-222.84420454545452	267.58895214387695	557.2821022727273	245.86079689916016	-50561.163888888885	13707.654333974288
2016-03-31 12:30:18.900	0	0	+	-578.7358585858585	354.78189518183046	463.46007575757574	276.0123833997685	-5382.8069444444445	13283.520711509973
2016-03-31 12:30:20.900	0	0	+	-324.97643939393936	394.1627492131622	27.70123737373737	236.6557604074137	41154.727853535354	13496.054408077156
2016-03-31 12:30:22.900	0	0	+	59.42967171717172	600.1390425713543	3112.8012373737374	3787.567070594909	76207.24846590908	5082.266787942973
2016-03-31 12:30:24.900	0	+	0	-407.2074431818182	1048.1231298268308	-1873.9036237373737	5316.738484733561	81149.54483585859	734.7561125151058
2016-03-31 12:30:26.900	0	-	0	-261.73171717171715	955.1757218920029	288.0821717171717	7134.851732081239	80277.46467171717	811.5046503578502
2016-03-31 12:30:28.900	-	0	0	543.992601010101	1126.5083311516546	-739.8424305555556	716.9411415948501	78398.50589646465	550.1738275767111
2016-03-31 12:30:30.900	-	0	0	-361.60742424242426	361.0912048888258	-303.53154040404036	332.88464866340405	79217.0479040404	102.807174107149
2016-03-31 12:30:32.900	-	0	0	-526.5074242424241	5710.912696038169	-38.63601010101011	629.7485049324242	79835.39404040403	312.03012810334394
2016-03-31 12:30:34.900	0	0	0	142.26752525252525	502.1865974758247	-509.7806818181818	743.4363755663716	79780.95426767676	259.4029211760952
2016-03-31 12:30:36.900	0	0	0	-483.8842550505051	229.45957064278574	-124.24247474747474	316.5447107429604	79499.87762626263	288.04061923499756
2016-03-31 12:30:38.900	0	0	0	-508.92857142857144	627.736038052132	59.84285714285717	493.4137871058352	80307.64285714284	145.02064736879817
